DW_F_XDR_S1U_DNS_EUCSVT_4G_H|2019052222|20190523002709|20190523003308|359||1062328701|
ODS_RE_ST_XDR_S11_HDET_MI|201905222300|20190523000656|20190523003326|1590||14233585|
DW_F_XDR_S1U_HTTP_EUCSVT_4G_H|2019052222|20190523002807|20190523003518|431||442658942|
DW_F_XDR_S1U_DNS_EUCSVTE_4G_H|2019052222|20190523003210|20190523003540|210||33963236|
ODS_RE_ST_XDR_S1U_HTTP_HDET_MI|201905222315|20190523002056|20190523003603|907||435147963|
DW_F_XDR_S1U_HTTP_EUCSVTE_4G_H|2019052222|20190523003308|20190523003610|182||4380197|
DW_F_XDR_S1U_MME_EUCSVT_4G_H|2019052222|20190523003207|20190523003642|275||93075801|
ODS_RE_ST_XDR_S1U_GNRL_HDET_MI|201905222315|20190523002457|20190523003843|826||526088031|
ODS_RE_ST_XDR_S1U_DNS_HDET_MI|201905222315|20190523002256|20190523003948|1012||405476274|
ODS_RE_ST_XDR_S1U_FTP_HDET_MI|201905222330|20190523004257|20190523004308|11||20323|
ODS_RE_ST_XDR_S1U_RTSP_HDET_MI|201905222330|20190523004258|20190523004311|13||449|
ODS_RE_ST_XDR_S1U_MMS_HDET_MI|201905222330|20190523004259|20190523004312|13||4619|
ODS_RE_ST_XDR_S1U_EMAIL_HDET_MI|201905222330|20190523004300|20190523004317|17||36893|
ODS_RE_ST_XDR_S1MME_HDET_MI|201905222315|20190523001756|20190523004401|1565||142032852|
ODS_RE_ST_XDR_S6A_HDET_MI|201905222330|20190523004057|20190523004407|190||4385938|
ODS_RE_ST_XDR_S1U_P2P_HDET_MI|201905222330|20190523004256|20190523004436|100||524732|
ODS_RE_ST_XDR_S1U_VOIP_HDET_MI|201905222330|20190523004300|20190523004437|97||602233|
ODS_RE_ST_XDR_S1U_VIDEO_HDET_MI|201905222330|20190523004056|20190523004530|274||5151981|
ODS_RE_ST_XDR_SGS_HDET_MI|201905222330|20190523003957|20190523004543|346||6640279|
DW_RE_ST_XDR_S1U_HTTP_PERF_WIDE_CELL_BASE_H|2019052222|20190523003809|20190523004616|487||1419949960|
ODS_RE_ST_XDR_S1U_IM_HDET_MI|201905222330|20190523003757|20190523004630|513||114772817|
ODS_RE_ST_XDR_S1U_HTTP_HDET_MI|201905222330|20190523003556|20190523005119|923||405168196|
ODS_RE_ST_XDR_S11_HDET_MI|201905222315|20190523002157|20190523005133|1776||13978089|
ODS_RE_ST_XDR_S1U_DNS_HDET_MI|201905222330|20190523003756|20190523005320|924||382466892|
ODS_RE_ST_XDR_S1U_GNRL_HDET_MI|201905222330|20190523003959|20190523005338|819||519905176|
ODS_RE_ST_XDR_S1MME_HDET_MI|201905222330|20190523003256|20190523005741|1485||135501287|
ODS_RE_ST_XDR_S1U_FTP_HDET_MI|201905222345|20190523005756|20190523005811|15||20457|
ODS_RE_ST_XDR_S1U_RTSP_HDET_MI|201905222345|20190523005805|20190523005813|8||353|
ODS_RE_ST_XDR_S1U_MMS_HDET_MI|201905222345|20190523005800|20190523005814|14||5166|
ODS_RE_ST_XDR_S1U_MMS_HDET_H|2019052223|20190523005817|20190523005821|4||20701|
ODS_RE_ST_XDR_S1U_RTSP_HDET_H|2019052223|20190523005821|20190523005832|11||1674|
ODS_RE_ST_XDR_S1U_FTP_HDET_H|2019052223|20190523005829|20190523005837|8||81862|
ODS_RE_ST_XDR_S1U_EMAIL_HDET_MI|201905222345|20190523005758|20190523005842|44||33892|
ODS_RE_ST_XDR_SGS_HDET_MI|201905222345|20190523005456|20190523005909|253||6273982|
ODS_RE_ST_XDR_S1U_EMAIL_HDET_H|2019052223|20190523005903|20190523005919|16||143526|
ODS_RE_ST_XDR_S1U_VOIP_HDET_MI|201905222345|20190523005803|20190523010004|121||538473|
ODS_RE_ST_XDR_S1U_P2P_HDET_MI|201905222345|20190523005806|20190523010005|119||509374|
ODS_RE_ST_XDR_S6A_HDET_MI|201905222345|20190523005556|20190523010025|269||4917076|
ODS_RE_ST_XDR_S1U_VIDEO_HDET_MI|201905222345|20190523005558|20190523010105|307||4927070|
ODS_RE_ST_XDR_S1U_IM_HDET_MI|201905222345|20190523005257|20190523010106|489||102663712|
